=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.12.22 16:42:51 =~=~=~=~=~=~=~=~=~=~=~=

Adafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
0.14 0.14 -0.23 -0.50 97.89
0.06 0.14 -0.28 -0.76 83.52
0.01 0.15 -0.29 -0.95 78.76
-0.09 0.19 -0.27 -1.16 82.95
0.41 0.23 -0.26 -1.34 87.94
1.14 0.22 -0.42 -1.53 61.48
1.04 0.20 -0.58 -1.72 30.81
0.71 0.20 -0.68 -1.92 8.88
0.22 0.22 -0.71 -2.13 -1.44
-0.05 0.26 -0.68 -2.32 -0.76
-0.04 0.25 -0.64 -2.46 3.38
0.16 0.14 -0.61 -2.59 5.88
0.17 0.21 -0.61 -2.71 3.93
0.09 0.26 -0.60 -2.81 2.03
-0.12 0.19 -0.57 -2.91 1.41
-0.33 0.13 -0.52 -2.97 5.14
-0.29 0.11 -0.47 -3.02 9.84
-0.25 0.12 -0.42 -3.06 13.00
-0.12 0.19 -0.40 -3.08 13.16
-0.09 0.24 -0.39 -3.09 9.94
-0.13 0.23 -0.37 -3.09 8.00
-0.15 0.21 -0.35 -3.08 7.31
-0.18 0.18 -0.33 -3.07 5.54
-0.23 0.20 -0.31 -3.04 3.69
-0.28 0.18 -0.29 -2.99 1.46
-0.28 0.17 -0.27 -2.93 -1.59
-0.29 0.15 -0.26 -2.88 -4.43
-0.26 0.17 -0.24 -2.81 -5.91
-0.38 0.18 -0.22 -2.74 -10.72
-0.29 0.18 -0.20 -2.64 -12.46
-0.37 0.18 -0.17 -2.56 -13.08
-0.35 0.20 -0.14 -2.46 -13.83
-0.30 0.20 -0.11 -2.36 -11.50
-0.23 0.18 -0.07 -2.24 -5.90
-0.16 0.18 -0.04 0.12 -80.64
-0.14 0.17 -0.02 0.10 -72.18
-0.14 0.14 0.01 0.10 -63.24
-0.14 0.15 0.03 0.10 -56.55
-0.18 0.16 0.05 0.10 -51.23
-0.27 0.17 0.07 0.12 -46.57
-0.28 0.19 0.10 0.10 -40.23
-0.25 0.19 0.12 0.21 -37.73
-0.18 0.19 0.14 0.31 -33.97
-0.14 0.18 0.14 0.42 -34.47
-0.16 0.17 0.15 0.51 -34.23
-0.14 0.18 0.16 0.59 -30.99
-0.07 0.17 0.17 0.67 -28.58
-0.12 0.18 0.18 0.75 -27.51
-0.07 0.18 0.19 0.84 -22.81
0.04 0.18 0.20 0.91 -19.79
0.04 0.17 0.20 0.97 -16.76
0.04 0.18 0.20 1.02 -12.74
-0.13 0.16 0.22 1.07 -7.58
-0.15 0.16 0.26 1.12 1.37
-0.01 0.18 0.28 1.16 10.42
0.12 0.19 0.27 1.19 12.03
0.16 0.21 0.24 1.21 8.83
0.10 0.20 0.20 1.22 1.87
-0.01 0.20 0.18 1.23 -1.54
-0.05 0.19 0.17 1.24 -2.46
0.01 0.18 0.17 1.25 -1.01
0.10 0.18 0.16 1.25 1.15
0.15 0.19 0.16 1.24 3.87
0.18 0.17 0.16 1.23 7.85
0.17 0.19 0.16 1.20 13.88
0.17 0.20 0.17 1.17 21.44
0.16 0.19 0.18 1.14 28.43
0.18 0.18 0.18 1.10 34.74
0.17 0.16 0.18 1.05 39.68
0.15 0.17 0.18 1.00 43.61
0.13 0.18 0.18 0.95 46.46
0.13 0.18 0.17 0.90 48.81
0.17 0.16 0.16 0.84 52.54
0.15 0.16 0.16 0.75 56.68
0.17 0.18 0.15 0.69 58.21
0.26 0.18 0.14 0.62 62.24
0.35 0.17 0.13 0.54 66.06
0.69 0.19 0.07 0.45 63.78
0.72 0.15 -0.01 -0.13 71.36
0.70 0.15 -0.06 -0.12 64.75
0.58 0.16 -0.10 -0.13 58.41
0.34 0.18 -0.11 -0.28 60.12
0.33 0.19 -0.11 -0.40 65.54
0.37 0.19 -0.11 -0.56 71.23
0.40 0.16 -0.13 -0.69 71.51
0.50 0.20 -0.19 -0.82 63.52
0.47 0.27 -0.25 -0.96 53.04
0.36 0.23 -0.30 -1.09 41.63
0.30 0.21 -0.35 -1.24 32.09
0.19 0.23 -0.37 -1.39 25.39
-0.05 0.20 -0.39 -1.49 15.74
0.28 0.23 -0.41 -1.60 11.38
0.55 0.22 -0.45 -1.72 6.95
0.74 0.15 -0.50 -1.83 -1.12
0.71 0.14 -0.56 -1.95 -10.97
0.55 0.23 -0.60 -2.06 -16.22
0.31 0.32 -0.60 -2.16 -18.88
-0.04 0.30 -0.58 -2.29 -18.35
-0.10 0.25 -0.54 -2.37 -14.42
-0.08 0.22 -0.49 -2.43 -8.99
0.01 0.18 -0.46 -2.48 -4.06
0.06 0.10 -0.44 -2.52 -1.98
0.08 0.07 -0.43 -2.57 -1.68
-0.01 0.08 -0.41 -2.60 -2.99
0.01 0.14 -0.40 -2.62 -3.47
-0.05 0.19 -0.39 -2.63 -4.45
-0.11 0.21 -0.37 -2.63 -5.83
-0.13 0.20 -0.37 -2.63 -10.60
-0.24 0.18 -0.36 -2.61 -16.60
-0.31 0.17 -0.34 -2.58 -20.86
-0.29 0.15 -0.32 -2.54 -24.69
-0.28 0.16 -0.31 -2.49 -29.41
-0.23 0.17 -0.30 -2.42 -34.80
-0.20 0.16 -0.30 -2.34 -41.94
-0.27 0.16 -0.30 -2.26 -49.50
-0.35 0.17 -0.29 -2.18 -56.00
-0.37 0.17 -0.28 -2.07 -62.42
-0.33 0.18 -0.27 -1.97 -68.64
-0.29 0.18 -0.27 -1.86 -77.29
-0.22 0.17 -0.28 -1.75 -87.70
-0.15 0.16 -0.31 -1.63 -99.79
-0.31 0.15 -0.32 -1.46 -114.97
-0.98 0.08 -0.28 -1.31 -123.92
-1.18 0.08 -0.14 -1.14 -107.02
-1.06 0.10 0.01 -0.92 -87.22
-0.70 0.18 0.15 0.19 -89.72
-0.31 0.26 0.21 0.38 -77.25
0.08 0.29 0.25 0.56 -64.49
0.24 0.24 0.23 0.71 -63.65
-0.06 0.07 0.20 0.92 -71.02
-0.90 -0.03 0.23 1.08 -77.22
-1.50 0.07 0.35 1.26 -65.64
-1.37 0.20 0.47 1.46 -50.28
-1.03 0.23 0.56 1.66 -39.47
-0.69 0.23 0.58 1.91 -40.27
-0.59 0.18 0.58 2.11 -44.24
-0.45 0.12 0.59 2.30 -45.83
-0.33 -0.03 0.60 2.52 -44.12
-0.30 0.06 0.60 2.73 -44.13
-0.32 0.20 0.60 2.89 -43.19
-0.29 0.27 0.61 3.04 -37.84
-0.34 0.29 0.64 3.18 -30.26
-0.32 0.23 0.66 3.32 -23.44
-0.27 0.19 0.68 3.47 -17.02
-0.11 0.03 0.69 3.58 -8.00
-0.06 -0.05 0.70 3.69 0.95
0.06 0.14 0.69 3.77 4.21
0.04 0.55 0.66 3.83 5.86
0.05 0.44 0.65 3.87 8.65
0.16 0.26 0.63 3.91 14.04
0.33 0.03 0.59 3.92 14.31
0.27 0.17 0.55 3.92 14.63
0.12 0.35 0.55 3.90 20.79
-0.07 0.36 0.59 3.88 36.89
0.14 0.32 0.62 3.84 56.32
0.34 0.31 0.59 3.78 59.17
0.20 0.17 0.48 3.72 38.27
-0.36 -0.12 0.41 3.67 17.20
-0.53 -0.15 0.39 3.62 7.36
-0.41 0.10 0.39 3.58 3.26
-0.27 0.17 0.37 3.54 -0.48
-0.08 0.24 0.34 3.50 -7.79
0.02 0.20 0.29 3.46 -17.72
-0.01 0.14 0.27 3.42 -20.17
-0.02 0.13 0.27 3.37 -16.21
-0.07 0.16 0.29 3.32 -9.19
-0.27 0.15 0.31 3.28 -5.87
-0.26 0.17 0.34 3.25 2.47
-0.07 0.18 0.40 3.21 20.90
0.07 0.22 0.44 3.14 37.18
0.26 0.24 0.46 3.08 52.46
0.38 0.16 0.46 3.01 65.71
0.42 0.13 0.46 2.93 77.05
0.48 0.13 0.44 2.82 85.56
0.50 0.18 0.40 2.69 88.70
0.52 0.18 0.37 2.56 91.44
0.47 0.19 0.33 2.42 92.14
0.32 0.17 0.31 2.24 96.60
0.33 0.16 0.32 2.06 110.02
0.39 0.20 0.33 1.90 123.17
0.75 0.20 0.34 1.73 143.37
1.38 0.22 0.28 1.52 155.02
1.77 0.11 0.06 1.23 128.19
1.65 -0.09 -0.18 0.97 87.72
1.21 -0.16 -0.35 0.69 59.64
0.93 0.01 -0.48 0.35 38.17
0.70 0.37 -0.58 0.08 15.79
0.37 0.60 -0.66 -0.23 -2.89
0.12 0.38 -0.65 -0.47 -5.96
-0.08 0.25 -0.58 -0.69 6.07
0.29 0.24 -0.52 -0.89 22.19
0.77 0.19 -0.53 -1.10 28.05
0.88 0.18 -0.57 -1.35 27.82
0.87 0.30 -0.60 -1.60 28.89
0.64 0.39 -0.63 -1.81 26.51
0.45 0.24 -0.63 -2.01 28.18
0.06 0.01 -0.61 -2.19 28.72
0.06 0.13 -0.54 -2.39 42.48
0.18 0.26 -0.49 -2.54 54.21
0.35 0.24 -0.48 -2.69 60.69
0.43 0.35 -0.49 -2.84 60.39
0.41 0.29 -0.50 -3.00 58.30
0.45 0.13 -0.51 -3.17 59.87
0.34 0.02 -0.52 -3.30 57.65
0.27 0.16 -0.54 -3.42 51.58
0.15 0.17 -0.56 -3.53 44.38
0.30 -0.02 -0.58 -3.66 38.45
0.37 0.19 -0.60 -3.76 34.14
0.28 0.35 -0.59 -3.85 35.31
0.38 0.26 -0.56 -3.95 43.55
0.40 0.17 -0.55 -4.04 46.50
0.60 0.15 -0.56 -4.14 49.01
0.64 0.50 -0.61 -4.23 41.64
0.67 0.45 -0.67 -4.32 30.13
0.47 0.12 -0.74 -4.41 10.76
0.16 0.04 -0.82 -4.49 -17.60
0.03 0.04 -0.86 -4.56 -35.00
-0.09 0.10 -0.87 -4.60 -48.80
-0.14 0.12 -0.87 -4.62 -59.55
-0.05 0.15 -0.87 -4.63 -70.49
-0.04 0.23 -0.88 -4.62 -83.14
-0.32 0.21 -0.89 -4.58 -101.74
-0.66 0.14 -0.87 -4.52 -115.29
-0.97 0.04 -0.75 -4.43 -109.00
-1.12 0.15 -0.61 -4.28 -95.20
-1.03 0.20 -0.45 -4.09 -76.60
-0.93 0.10 -0.30 -3.92 -54.31
-0.64 0.10 -0.20 -3.73 -40.93
-0.48 0.12 -0.11 -3.51 -27.25
-0.37 0.14 0.01 -3.32 -0.92
-0.09 0.13 0.09 0.18 -96.50
0.02 0.09 0.13 0.35 -84.47
0.00 0.09 0.14 0.51 -82.42
0.10 0.13 0.11 0.71 -89.73
-0.60 0.16 0.08 0.86 -105.40
-1.20 0.17 0.15 1.04 -106.06
-1.22 0.16 0.25 1.23 -96.63
-0.85 0.24 0.34 1.43 -85.73
-0.51 0.20 0.39 1.66 -78.05
-0.54 0.14 0.42 1.85 -73.87
-0.63 0.08 0.47 2.04 -66.40
-0.49 0.11 0.57 2.27 -44.37
-0.31 0.13 0.64 2.44 -24.35
0.03 0.25 0.67 2.62 -8.45
0.26 0.23 0.66 2.75 0.55
0.15 0.13 0.65 2.86 5.88
0.13 0.12 0.65 2.95 15.20
0.09 0.17 0.65 3.02 22.09
0.19 0.22 0.61 3.09 21.80
0.33 0.22 0.56 3.13 18.65
0.24 0.15 0.50 3.15 12.36
0.23 0.13 0.48 3.16 15.44
0.16 0.10 0.45 3.15 14.89
0.23 0.19 0.38 3.13 5.74
0.20 0.24 0.32 3.10 -5.74
0.32 0.05 0.22 3.06 -22.94
0.26 0.07 0.10 3.02 -50.90
-0.19 0.16 0.04 2.97 -69.55
-0.70 0.13 0.02 -0.02 17.67
-0.81 0.21 0.06 0.00 14.98
-0.57 0.28 0.12 0.01 23.38
-0.11 0.38 0.17 0.03 35.14
0.15 0.27 0.17 0.04 41.17
0.28 0.16 0.16 0.03 45.05
0.32 0.11 0.14 0.02 46.83
0.25 0.07 0.11 -0.01 41.89
0.03 0.12 0.08 -0.03 36.84
-0.18 0.18 0.07 -0.02 30.36
-0.28 0.20 0.05 -0.01 20.49
-0.31 0.22 0.03 -0.00 10.15
-0.38 0.19 0.02 0.01 0.71
-0.33 0.17 0.02 0.02 -4.82
-0.28 0.22 0.01 0.02 -12.38
-0.28 0.20 -0.02 0.03 -23.91
-0.34 0.16 -0.05 0.04 -36.65
-0.38 0.17 -0.06 0.04 -46.59
-0.35 0.20 -0.07 0.05 -54.09
-0.27 0.21 -0.08 0.06 -60.24
-0.18 0.18 -0.09 0.06 -65.64
-0.13 0.16 -0.10 0.14 -72.53
-0.17 0.14 -0.11 0.20 -77.72
-0.38 0.17 -0.09 0.29 -82.53
-0.58 0.20 -0.06 0.38 -84.11
-0.86 0.18 0.00 0.10 -69.29
-1.01 0.17 0.12 0.15 -50.94
-0.71 0.20 0.23 0.28 -29.86
-0.18 0.21 0.30 0.40 -10.93
0.15 0.18 0.31 0.51 -4.38
0.18 0.14 0.29 0.60 -3.26
0.11 0.15 0.28 0.72 -2.68
-0.08 0.17 0.29 0.79 1.70
-0.14 0.18 0.32 0.86 10.92
-0.09 0.19 0.34 0.93 17.58
0.05 0.18 0.33 0.98 19.53
0.14 0.18 0.29 1.03 15.16
0.11 0.18 0.26 1.07 10.64
0.05 0.20 0.23 1.09 5.97
-0.01 0.21 0.21 1.12 1.45
-0.01 0.20 0.19 1.14 0.52
0.07 0.20 0.19 1.15 1.35
0.17 0.18 0.17 1.16 0.62
0.23 0.18 0.15 1.16 0.72
0.25 0.19 0.13 1.15 2.53
0.23 0.21 0.13 1.13 7.15
0.21 0.20 0.14 1.10 14.77
0.22 0.19 0.15 1.06 24.41
0.26 0.18 0.16 1.02 33.57
0.29 0.18 0.17 0.97 41.60
0.30 0.21 0.16 0.92 47.55
0.23 0.19 0.16 0.86 52.52
0.19 0.17 0.16 0.78 58.35
0.26 0.16 0.17 0.71 66.22
0.27 0.18 0.16 0.63 71.50
0.20 0.19 0.15 0.53 72.15
0.15 0.20 0.13 0.45 71.59
0.51 0.20 0.09 0.34 70.72
0.82 0.22 0.01 0.23 65.75
0.92 0.21 -0.08 -0.13 63.90
0.82 0.19 -0.17 -0.26 52.08
0.33 0.17 -0.24 -0.40 35.33
0.07 0.13 -0.26 -0.55 29.51
0.06 0.16 -0.27 -0.69 25.76
-0.01 0.19 -0.29 -0.80 17.57
0.12 0.24 -0.30 -0.90 13.49
-0.08 0.23 -0.31 -0.99 8.49
-0.05 0.18 -0.26 -1.08 17.08
0.24 0.17 -0.23 -1.16 28.98
0.57 0.20 -0.21 -1.25 41.08
0.70 0.21 -0.21 -1.34 49.96
0.74 0.20 -0.22 -1.47 60.14
0.81 0.19 -0.23 -1.61 70.20
0.78 0.21 -0.25 -1.73 73.36
0.86 0.19 -0.29 -1.87 76.80
0.84 0.16 -0.33 -2.02 77.29
1.07 0.20 -0.37 -2.18 78.67
0.89 0.23 -0.45 -2.38 70.86
0.82 0.24 -0.54 -2.56 53.37
0.59 0.30 -0.68 -2.76 19.76
0.47 0.16 -0.78 -2.92 -7.57
0.30 0.02 -0.86 -3.06 -30.92
0.04 0.03 -0.90 -3.21 -50.80
-0.11 0.06 -0.91 -3.32 -63.49
-0.19 0.16 -0.90 -3.39 -74.63
-0.23 0.24 -0.88 -3.45 -83.38
-0.18 0.24 -0.87 -3.49 -91.36
-0.31 0.24 -0.85 -3.50 -100.42
-0.36 0.18 -0.83 -3.49 -110.74
-0.63 0.11 -0.80 -3.45 -121.88
-1.05 0.09 -0.65 -3.36 -105.90
-1.11 0.14 -0.48 -3.25 -84.99
-1.07 0.17 -0.26 -3.12 -45.89
-0.88 0.18 -0.09 -2.97 -16.38
-0.46 0.19 0.02 -2.78 6.03
-0.08 0.12 0.09 0.18 -76.05
-0.01 0.10 0.10 0.31 -73.01
-0.02 0.08 0.09 0.44 -73.02
-0.24 0.14 0.08 0.57 -79.08
-0.51 0.16 0.09 0.73 -86.41
-0.69 0.15 0.12 0.87 -89.10
-0.78 0.13 0.17 1.03 -87.16
-0.67 0.12 0.22 1.18 -83.38
-0.58 0.13 0.23 1.38 -89.56
-0.69 0.10 0.23 1.58 -101.67
-1.03 0.11 0.23 1.76 -114.80
-1.25 0.16 0.28 1.96 -121.87
-1.12 0.28 0.37 2.17 -111.09
