=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.12.21 16:21:41 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
0.05 -0.05 -0.10 -0.00 26
0.01 -0.05 -0.10 -0.00 27
0.01 -0.07 -0.09 -0.00 25
0.01 -0.08 -0.07 0.00 20
0.03 -0.08 -0.06 0.00 18
0.07 -0.07 -0.06 0.00 16
0.12 -0.05 -0.06 -0.00 16
0.16 -0.06 -0.07 -0.00 16
0.15 -0.07 -0.08 -0.01 16
0.15 -0.08 -0.08 -0.01 17
0.09 -0.08 -0.09 -0.01 19
0.03 -0.08 -0.10 -0.01 22
0.06 -0.07 -0.10 -0.01 24
0.08 -0.06 -0.11 -0.01 25
0.09 -0.07 -0.11 -0.02 25
0.07 -0.08 -0.11 -0.02 25
0.03 -0.08 -0.11 -0.03 25
0.00 -0.06 -0.10 -0.03 24
-0.02 -0.05 -0.09 -0.03 23
-0.02 -0.04 -0.09 0.00 23
-0.01 -0.04 -0.08 0.00 23
0.06 -0.06 -0.08 0.00 23
0.14 -0.06 -0.09 0.00 23
0.17 -0.06 -0.10 -0.00 24
0.10 -0.05 -0.10 -0.00 24
0.07 -0.05 -0.10 -0.00 23
0.06 -0.05 -0.10 -0.00 24
0.06 -0.05 -0.10 -0.00 25
0.06 -0.05 -0.10 -0.01 25
0.04 -0.05 -0.10 -0.01 25
0.05 -0.07 -0.10 -0.00 24
0.06 -0.05 -0.09 -0.00 24
0.08 -0.05 -0.10 -0.00 24
0.07 -0.07 -0.09 -0.00 24
0.07 -0.08 -0.09 -0.00 24
0.08 -0.07 -0.10 -0.00 24
0.08 -0.07 -0.09 -0.00 23
0.07 -0.06 -0.09 -0.00 23
0.08 -0.07 -0.09 -0.00 23
0.07 -0.06 -0.09 -0.00 23
0.06 -0.06 -0.09 -0.00 23
0.06 -0.05 -0.09 -0.00 23
0.06 -0.05 -0.09 -0.00 23
0.08 -0.06 -0.09 -0.00 23
0.09 -0.07 -0.09 -0.00 22
0.10 -0.07 -0.09 -0.00 22
0.10 -0.06 -0.09 -0.00 21
0.11 -0.06 -0.09 -0.01 21
0.10 -0.07 -0.09 -0.01 20
0.10 -0.08 -0.09 -0.01 20
0.10 -0.08 -0.09 -0.01 20
0.11 -0.07 -0.10 -0.01 20
0.11 -0.08 -0.10 -0.01 20
0.12 -0.06 -0.10 -0.01 19
0.10 -0.06 -0.10 -0.01 19
0.09 -0.05 -0.10 -0.01 19
0.10 -0.05 -0.10 -0.02 19
0.10 -0.06 -0.10 -0.03 18
0.11 -0.06 -0.10 -0.04 18
0.10 -0.06 -0.10 -0.05 18
0.08 -0.06 -0.10 -0.07 18
0.08 -0.05 -0.10 -0.08 17
0.09 -0.04 -0.10 -0.09 17
0.08 -0.04 -0.10 -0.10 17
0.09 -0.04 -0.10 -0.11 17
0.08 -0.05 -0.10 -0.12 17
0.08 -0.06 -0.10 -0.13 16
0.08 -0.05 -0.10 -0.14 16
0.08 -0.05 -0.11 -0.15 16
0.07 -0.06 -0.11 -0.16 16
0.06 -0.05 -0.11 -0.17 17
0.07 -0.05 -0.11 -0.18 17
0.06 -0.07 -0.10 -0.18 17
0.06 -0.08 -0.10 -0.19 16
0.06 -0.08 -0.10 -0.20 16
0.06 -0.06 -0.10 -0.20 16
0.07 -0.06 -0.10 -0.21 16
0.07 -0.07 -0.10 -0.22 16
0.08 -0.06 -0.10 -0.22 16
0.09 -0.08 -0.10 -0.23 16
0.09 -0.07 -0.10 -0.23 16
0.07 -0.08 -0.10 -0.24 16
0.06 -0.08 -0.10 -0.24 16
0.06 -0.05 -0.10 -0.25 16
0.06 -0.06 -0.10 -0.25 16
0.05 -0.06 -0.10 -0.25 16
0.05 -0.07 -0.10 -0.26 16
0.07 -0.04 -0.10 -0.26 16
0.07 -0.04 -0.10 -0.26 16
0.06 -0.05 -0.10 -0.26 15
0.04 -0.07 -0.10 -0.00 25
0.05 -0.08 -0.10 -0.00 25
0.05 -0.08 -0.10 -0.00 25
0.05 -0.09 -0.09 -0.00 24
0.06 -0.06 -0.09 -0.00 24
0.07 -0.06 -0.09 -0.00 25
0.08 -0.06 -0.10 -0.00 25
0.08 -0.07 -0.10 -0.00 24
0.08 -0.07 -0.10 -0.00 24
0.07 -0.07 -0.10 -0.00 24
0.08 -0.06 -0.10 -0.00 25
-0.10 -0.04 -0.10 0.00 27
-0.38 -0.03 -0.09 0.01 31
-0.60 -0.03 -0.06 0.03 35
-0.46 -0.11 -0.04 0.04 35
-0.06 -0.18 -0.04 0.04 35
0.15 -0.18 -0.04 0.03 32
0.15 -0.09 -0.03 0.03 26
0.02 0.00 -0.00 0.03 18
0.11 0.02 0.01 0.02 11
0.20 -0.05 0.01 0.01 9
0.20 -0.09 -0.01 0.01 9
0.22 -0.11 -0.02 0.01 7
0.27 -0.08 -0.02 -0.00 5
0.29 -0.02 -0.03 -0.01 4
0.30 -0.03 -0.04 -0.01 2
0.33 -0.04 -0.05 -0.02 0
0.35 -0.08 -0.06 -0.02 2
0.36 -0.11 -0.07 -0.03 4
0.37 -0.10 -0.08 -0.04 4
0.33 -0.07 -0.09 -0.04 4
0.30 -0.03 -0.10 -0.09 5
0.29 -0.06 -0.11 -0.14 6
0.30 -0.07 -0.12 -0.19 8
0.30 -0.07 -0.12 -0.24 10
0.29 -0.05 -0.13 -0.30 12
0.28 -0.05 -0.14 -0.36 13
0.25 -0.05 -0.14 -0.42 14
0.22 -0.05 -0.15 -0.48 15
0.22 -0.05 -0.15 -0.54 17
0.20 -0.07 -0.15 -0.60 18
0.18 -0.07 -0.15 -0.66 19
0.18 -0.06 -0.15 -0.71 20
0.16 -0.06 -0.15 -0.78 21
0.16 -0.07 -0.16 -0.83 21
0.17 -0.06 -0.16 -0.89 21
0.14 -0.06 -0.16 -0.93 20
0.12 -0.05 -0.17 -0.98 20
0.10 -0.04 -0.17 -1.02 20
0.09 -0.03 -0.17 -1.07 19
0.07 -0.04 -0.17 -1.11 18
0.06 -0.04 -0.17 -1.14 17
0.04 -0.04 -0.17 -1.18 17
0.04 -0.04 -0.17 -1.21 16
0.01 -0.08 -0.17 -1.24 14
0.00 -0.07 -0.17 -1.26 13
0.01 -0.07 -0.16 -1.28 12
-0.00 -0.09 -0.16 -1.29 11
-0.01 -0.09 -0.15 -1.30 11
-0.01 -0.08 -0.15 -1.31 10
-0.02 -0.07 -0.15 -1.32 10
-0.03 -0.07 -0.14 -1.32 9
-0.05 -0.08 -0.14 -1.32 8
-0.04 -0.09 -0.13 -1.31 8
-0.03 -0.08 -0.13 -1.31 7
-0.03 -0.09 -0.12 -1.30 6
-0.03 -0.07 -0.12 -1.29 5
-0.03 -0.06 -0.12 -1.27 5
-0.02 -0.07 -0.11 -1.26 4
-0.04 -0.06 -0.11 -1.24 2
-0.02 -0.05 -0.11 -1.23 1
-0.03 -0.08 -0.11 -1.21 1
-0.04 -0.07 -0.10 -1.19 0
-0.03 -0.07 -0.10 -1.16 1
-0.03 -0.08 -0.10 -1.14 1
-0.02 -0.05 -0.10 -1.12 2
-0.02 -0.05 -0.09 -1.09 3
-0.02 -0.07 -0.09 0.03 41
0.01 -0.09 -0.09 0.02 40
0.02 -0.09 -0.08 0.03 39
0.01 -0.07 -0.08 0.02 39
0.03 -0.05 -0.08 0.02 38
0.03 -0.05 -0.08 0.02 37
0.04 -0.07 -0.08 0.02 36
0.03 -0.06 -0.08 0.02 35
0.06 -0.06 -0.08 0.02 34
0.06 -0.04 -0.08 0.02 33
0.05 -0.04 -0.08 0.01 32
0.06 -0.04 -0.08 0.02 32
0.07 -0.04 -0.08 0.02 31
0.07 -0.05 -0.08 0.01 31
0.07 -0.05 -0.08 0.01 30
0.08 -0.03 -0.08 0.01 30
0.07 -0.04 -0.08 0.01 30
0.08 -0.05 -0.08 0.01 29
0.08 -0.05 -0.09 0.01 29
0.08 -0.06 -0.09 0.01 28
0.10 -0.07 -0.09 0.01 28
0.10 -0.07 -0.09 0.01 27
0.10 -0.08 -0.09 0.00 26
0.11 -0.08 -0.09 0.00 26
0.12 -0.10 -0.09 0.00 25
0.10 -0.09 -0.09 0.00 25
0.10 -0.10 -0.09 -0.00 24
0.10 -0.08 -0.10 -0.00 24
0.10 -0.07 -0.10 -0.00 24
0.09 -0.06 -0.10 -0.00 24
0.10 -0.06 -0.10 -0.00 24
0.10 -0.05 -0.10 -0.01 24
0.10 -0.07 -0.11 -0.01 24
0.10 -0.07 -0.11 -0.02 24
0.06 -0.05 -0.11 -0.02 25
0.04 -0.07 -0.11 -0.03 25
0.03 -0.07 -0.11 -0.03 25
0.04 -0.06 -0.11 -0.03 26
0.06 -0.07 -0.11 -0.03 26
0.10 -0.07 -0.11 -0.04 26
0.11 -0.06 -0.11 -0.04 26
0.08 -0.07 -0.11 -0.04 26
0.07 -0.08 -0.11 -0.05 25
0.06 -0.08 -0.11 -0.05 25
0.04 -0.08 -0.11 -0.05 25
0.01 -0.07 -0.10 -0.05 26
-0.14 -0.04 -0.10 -0.05 28
-0.35 -0.06 -0.09 -0.03 32
-0.61 -0.10 -0.07 0.03 38
-0.91 -0.13 -0.04 0.04 43
-1.20 -0.13 0.02 0.08 46
-1.38 -0.11 0.08 0.12 49
-1.40 -0.05 0.14 0.13 48
-1.22 -0.05 0.21 0.28 46
-0.97 -0.06 0.26 0.44 46
-0.66 -0.08 0.31 0.60 42
-0.36 -0.07 0.35 0.76 33
-0.08 -0.01 0.38 0.90 21
0.19 0.00 0.41 1.03 6
0.47 -0.05 0.42 1.11 8
0.70 -0.10 0.41 1.20 20
0.77 -0.12 0.40 1.25 33
0.80 -0.11 0.38 1.27 45
0.82 -0.08 0.35 1.26 55
0.96 -0.06 0.32 1.23 65
1.11 -0.04 0.26 1.16 71
1.15 -0.04 0.21 1.07 78
1.39 -0.06 0.16 0.95 88
1.76 -0.08 0.07 0.76 94
1.79 -0.04 -0.04 0.61 89
1.60 -0.03 -0.15 -0.22 106
1.59 -0.06 -0.23 -0.46 108
1.33 -0.02 -0.32 -0.71 101
1.20 0.01 -0.38 -0.98 100
1.41 0.01 -0.45 -1.26 100
1.71 -0.01 -0.54 -1.55 97
2.00 0.01 -0.67 -1.87 86
1.95 -0.01 -0.84 -2.27 67
1.63 -0.05 -1.01 -2.61 36
1.45 0.11 -1.18 -2.95 2
1.26 0.11 -1.28 -3.28 19
0.72 -0.06 -1.38 -3.59 48
0.43 -0.28 -1.45 -3.87 73
0.25 -0.24 -1.46 -4.13 88
0.26 0.13 -1.42 -4.35 88
0.13 0.24 -1.36 -4.58 83
-0.03 -0.17 -1.31 -4.71 84
-0.13 -0.32 -1.26 -4.84 85
-0.22 -0.28 -1.19 -4.95 83
-0.29 -0.28 -1.12 -5.02 79
-0.82 -0.22 -1.01 -5.05 74
-1.14 -0.16 -0.89 -5.04 69
-1.17 -0.06 -0.79 -4.99 71
-1.41 -0.06 -0.70 -4.90 74
-1.51 -0.11 -0.59 -4.74 78
-1.60 -0.14 -0.49 -4.57 82
-1.32 -0.13 -0.40 -4.37 81
-1.19 -0.12 -0.32 -4.15 84
-0.99 -0.07 -0.28 -3.91 91
-1.02 -0.09 -0.24 -3.65 99
-1.21 -0.17 -0.20 -3.38 112
-1.43 -0.22 -0.12 -3.08 114
-1.65 -0.33 0.03 -2.70 100
-1.63 -0.31 0.19 0.34 177
-1.30 -0.16 0.30 0.69 164
-0.84 -0.15 0.39 1.03 149
-0.68 -0.01 0.42 1.37 149
-1.28 0.12 0.47 1.64 149
-2.84 0.19 0.74 2.02 112
-2.01 -0.20 1.01 2.41 61
-1.31 -0.47 1.13 2.87 41
-1.34 -0.37 1.21 3.25 30
-0.83 -0.26 1.33 3.61 1
-0.60 -0.11 1.40 3.95 26
-0.14 -0.06 1.45 4.24 52
0.26 -0.00 1.47 4.50 77
0.72 -0.06 1.45 4.70 97
1.25 -0.02 1.39 4.84 117
0.94 0.12 1.30 4.93 121
1.05 -0.04 1.16 4.98 114
1.05 -0.07 0.97 4.97 87
1.04 0.06 0.78 4.94 61
1.29 0.14 0.58 4.86 35
1.03 -0.01 0.40 4.78 6
0.63 -0.22 0.27 4.66 17
0.37 -0.28 0.18 4.54 31
0.04 -0.22 0.15 4.42 37
-0.09 -0.10 0.15 4.29 37
-0.26 -0.04 0.18 4.18 30
-0.34 0.03 0.25 4.09 15
-0.17 0.01 0.28 4.00 5
-0.13 -0.07 0.31 3.91 2
-0.21 -0.10 0.33 3.83 8
-0.26 -0.12 0.35 3.75 15
-0.18 -0.18 0.37 3.69 19
-0.00 -0.22 0.38 3.61 26
0.09 -0.21 0.39 3.51 34
0.24 -0.21 0.39 3.42 43
0.39 -0.17 0.38 3.32 52
0.33 -0.12 0.37 3.21 59
0.40 -0.09 0.37 3.09 68
0.48 -0.06 0.35 2.96 73
0.57 -0.06 0.32 2.81 77
0.57 -0.06 0.28 2.66 80
0.56 -0.10 0.25 2.46 86
0.63 -0.11 0.23 2.29 92
0.61 -0.03 0.19 2.11 95
0.61 -0.01 0.15 1.96 93
0.66 -0.02 0.10 1.76 93
1.08 -0.00 0.03 1.54 90
1.45 0.04 -0.08 -0.24 137
1.37 0.01 -0.19 -0.49 126
1.23 -0.08 -0.28 -0.75 121
1.15 -0.08 -0.30 -1.08 131
1.81 0.13 -0.32 -1.38 152
2.80 0.15 -0.44 -1.72 160
2.62 -0.01 -0.65 -2.09 135
2.17 -0.14 -0.85 -2.49 109
1.86 -0.34 -1.01 -2.89 83
1.20 -0.25 -1.17 -3.28 49
0.84 -0.06 -1.27 -3.65 22
0.78 -0.24 -1.34 -4.07 4
0.83 -0.08 -1.39 -4.40 8
0.76 -0.15 -1.45 -4.65 31
0.77 -0.19 -1.52 -4.94 53
1.05 0.15 -1.58 -5.21 68
0.58 0.18 -1.61 -5.46 82
-0.10 0.18 -1.61 -5.68 101
0.07 0.17 -1.56 -5.85 103
-0.43 0.14 -1.45 -5.99 94
-0.62 0.10 -1.30 -6.10 77
-0.50 -0.22 -1.09 -6.16 40
-0.51 -0.48 -0.87 -6.19 1
-0.01 -0.38 -0.74 -6.21 27
0.24 -0.29 -0.73 -6.22 27
0.42 -0.12 -0.78 -6.23 13
0.40 0.07 -0.82 -6.23 0
0.26 0.15 -0.83 -6.23 6
0.03 0.01 -0.80 -6.22 7
-0.17 -0.24 -0.76 -6.19 8
-0.06 -0.43 -0.73 -6.15 7
0.02 -0.45 -0.70 -6.10 7
0.24 -0.28 -0.69 -6.05 7
0.15 -0.07 -0.74 -5.99 27
-0.11 0.07 -0.83 -5.92 61
-0.01 0.23 -0.89 -5.84 87
-0.02 0.11 -0.92 -5.73 105
-0.46 -0.14 -0.92 -5.62 124
-0.87 -0.34 -0.88 -5.47 136
-1.27 -0.42 -0.80 -5.30 144
-1.72 -0.32 -0.68 -5.08 147
-1.91 -0.15 -0.54 -4.82 143
-1.61 -0.03 -0.34 -4.53 120
-1.35 -0.10 -0.16 -4.22 94
-1.17 -0.17 -0.01 -3.90 73
-0.89 -0.22 0.13 0.32 184
-0.68 -0.17 0.23 0.65 165
-0.29 0.06 0.31 0.95 146
-0.57 0.08 0.32 1.25 148
-0.99 0.03 0.35 1.56 153
-1.73 -0.39 0.47 1.88 143
-1.77 -0.44 0.70 2.21 102
-0.69 -0.06 0.87 2.53 60
-0.47 0.07 0.90 2.90 52
-1.25 0.22 0.97 3.20 43
-0.79 0.39 1.12 3.49 3
-0.62 0.41 1.24 3.76 30
-0.08 0.14 1.28 3.99 52
0.14 -0.15 1.27 4.20 65
-0.32 -0.27 1.24 4.38 64
-0.48 -0.63 1.19 4.51 58
-0.29 -0.61 1.14 4.65 52
0.43 -0.61 1.02 4.79 37
0.66 -0.27 0.87 4.86 16
0.19 -0.04 0.77 4.92 1
0.11 0.15 0.72 4.96 3
0.03 0.21 0.68 4.98 7
-0.14 0.05 0.65 5.00 10
0.04 0.05 0.62 5.00 10
-0.03 0.10 0.59 5.00 12
-0.30 0.17 0.61 4.99 7
-0.59 0.12 0.65 4.99 2
-0.28 -0.01 0.71 4.99 20
