=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.12.22 17:26:59 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
0.11 0.54 -0.66 -3.98 -17.86
-0.28 0.04 -0.67 -3.99 -33.79
-0.14 -0.20 -0.62 -3.99 -27.82
0.27 -0.35 -0.56 -3.99 -11.91
0.05 -0.12 -0.47 -3.98 7.71
-0.08 0.01 -0.40 -3.96 21.60
0.10 -0.01 -0.36 -3.94 29.78
-0.22 0.25 -0.33 -3.92 30.23
-0.15 0.23 -0.32 -3.87 26.80
-0.06 0.26 -0.34 -3.83 17.36
-0.38 0.80 -0.34 -3.78 6.58
-0.08 0.71 -0.35 -3.71 -1.75
0.27 0.60 -0.39 -3.65 -13.00
-0.22 0.61 -0.42 -3.58 -28.04
-0.08 0.38 -0.43 -3.51 -38.67
-0.13 0.25 -0.44 -3.43 -48.52
-0.45 0.25 -0.44 -3.34 -60.70
-0.79 0.08 -0.42 -3.23 -73.27
-0.54 -0.20 -0.35 -3.07 -67.68
-0.06 -0.19 -0.27 -2.92 -51.41
-0.07 -0.06 -0.18 -2.80 -30.35
-0.17 0.13 -0.06 -2.68 -1.82
-0.14 0.19 0.01 0.14 -79.54
-0.07 0.25 0.06 0.12 -62.37
0.08 0.29 0.07 0.11 -52.60
0.06 0.34 0.07 0.10 -46.11
-0.07 0.37 0.09 0.09 -39.53
0.05 0.36 0.10 0.21 -35.81
-0.05 0.26 0.05 0.30 -50.02
-0.30 0.23 -0.00 0.09 -58.75
-0.45 0.33 -0.01 0.09 -65.08
-0.45 0.35 0.02 0.10 -61.92
-0.32 0.37 0.03 0.12 -62.63
-0.15 0.34 0.02 0.10 -63.17
-0.30 0.33 0.01 0.10 -66.16
-0.25 0.35 0.02 0.13 -64.63
-0.15 0.30 0.02 0.10 -63.70
-0.10 0.26 0.02 0.12 -63.84
-0.09 0.27 0.00 0.10 -64.25
-0.09 0.26 -0.01 0.09 -65.12
-0.02 0.26 -0.03 0.09 -69.36
-0.06 0.26 -0.05 0.09 -73.52
-0.12 0.27 -0.07 0.11 -78.13
-0.25 0.26 -0.08 0.11 -83.51
-0.09 0.27 -0.08 0.09 -81.63
-0.08 0.24 -0.09 0.09 -84.13
-0.08 0.24 -0.08 0.18 -85.28
-0.06 0.25 -0.07 0.28 -83.53
-0.30 0.22 -0.04 0.09 -72.41
-0.41 0.24 0.01 0.10 -62.24
-0.15 0.28 0.04 0.09 -53.93
0.06 0.25 0.01 0.11 -56.82
-0.02 0.27 -0.02 0.10 -64.27
-0.09 0.28 -0.05 0.08 -70.30
-0.15 0.27 -0.08 0.08 -77.81
-0.20 0.27 -0.11 0.09 -88.30
-0.21 0.26 -0.14 0.18 -101.18
-0.29 0.25 -0.16 0.29 -114.10
-0.41 0.26 -0.17 0.40 -127.12
-0.44 0.25 -0.16 0.53 -134.91
-0.82 0.26 -0.11 0.66 -134.33
-0.86 0.24 -0.00 0.83 -122.00
-0.76 0.18 0.12 0.15 -72.64
-0.94 0.15 0.26 0.32 -49.02
-0.93 0.21 0.41 0.50 -19.81
-1.16 0.29 0.52 0.72 -4.65
-1.03 0.47 0.62 0.92 9.33
-0.83 0.52 0.69 1.15 18.98
-0.52 0.48 0.75 1.34 35.46
0.24 0.39 0.71 1.50 36.51
0.51 0.07 0.57 1.66 11.30
0.34 -0.01 0.43 1.77 -16.23
-0.05 0.04 0.34 1.87 -37.33
-0.23 0.14 0.31 1.97 -46.36
-0.34 0.24 0.29 2.06 -56.46
-0.42 0.24 0.26 2.20 -67.99
-0.57 0.30 0.25 2.30 -79.51
-0.52 0.24 0.25 2.41 -86.44
-0.61 0.18 0.26 2.52 -91.15
-1.01 0.16 0.27 2.65 -102.86
-0.90 0.11 0.34 2.82 -97.56
-0.82 0.10 0.46 2.97 -72.99
-1.03 0.01 0.59 3.12 -49.45
-0.97 -0.07 0.75 3.31 -16.60
-0.32 0.03 0.90 3.49 27.26
-0.15 0.29 0.96 3.62 51.95
-0.19 0.44 0.99 3.73 66.54
0.12 0.46 0.98 3.81 75.99
0.36 0.46 0.93 3.87 78.75
0.22 0.40 0.88 3.92 77.34
0.29 0.45 0.83 3.93 78.41
0.66 0.44 0.81 3.91 92.76
0.54 0.23 0.76 3.87 95.26
0.44 0.28 0.63 3.81 75.87
0.49 0.23 0.50 3.72 53.83
0.35 0.21 0.37 3.63 29.64
0.20 0.36 0.25 3.53 2.77
0.17 0.36 0.17 3.44 -12.30
0.09 0.29 0.13 3.34 -21.84
-0.03 0.22 0.11 3.21 -25.51
-0.07 0.23 0.11 3.13 -23.68
-0.09 0.24 0.13 3.05 -17.97
-0.05 0.24 0.17 2.97 -7.20
0.05 0.23 0.20 2.89 2.92
0.14 0.24 0.21 2.79 13.38
0.19 0.27 0.23 2.70 23.39
0.25 0.29 0.24 2.61 32.42
0.30 0.29 0.24 2.49 42.08
0.31 0.29 0.25 2.38 51.40
0.32 0.27 0.25 2.25 61.87
0.33 0.27 0.26 2.13 71.27
0.33 0.25 0.25 2.00 78.33
0.32 0.29 0.24 1.87 82.81
0.35 0.31 0.21 1.70 86.34
0.51 0.28 0.18 1.56 87.52
0.67 0.26 0.13 1.37 88.96
0.77 0.28 0.07 1.19 85.94
0.90 0.24 -0.02 1.01 76.32
1.04 0.28 -0.09 -0.24 113.37
1.02 0.35 -0.15 -0.45 112.37
0.76 0.37 -0.21 -0.67 107.33
0.79 0.39 -0.22 -0.90 115.94
1.24 0.37 -0.29 -1.19 115.69
1.06 0.41 -0.40 -1.48 104.22
0.62 0.39 -0.48 -1.73 87.14
0.69 0.36 -0.58 -1.97 65.59
0.78 0.35 -0.69 -2.26 46.36
0.67 0.17 -0.77 -2.49 27.95
0.82 -0.01 -0.80 -2.71 25.59
1.02 -0.19 -0.84 -2.94 22.71
0.55 -0.11 -0.88 -3.16 12.74
0.07 0.18 -0.88 -3.43 6.98
0.26 0.21 -0.86 -3.61 8.58
0.25 0.22 -0.85 -3.77 5.59
0.03 0.15 -0.86 -3.91 -5.36
0.05 0.28 -0.83 -4.03 -5.01
0.21 0.37 -0.81 -4.16 -2.12
0.07 0.35 -0.80 -4.26 -8.52
-0.13 0.51 -0.80 -4.33 -18.32
-0.21 0.65 -0.76 -4.39 -18.41
0.27 0.51 -0.73 -4.43 -12.86
-0.01 0.29 -0.75 -4.47 -28.01
-0.29 0.23 -0.75 -4.48 -38.56
-0.30 0.24 -0.70 -4.47 -38.69
-0.20 0.32 -0.69 -4.44 -46.69
0.08 0.30 -0.69 -4.41 -54.21
-0.26 0.27 -0.71 -4.36 -70.80
-0.49 0.18 -0.68 -4.27 -80.05
-0.70 0.20 -0.64 -4.18 -86.61
-0.77 0.18 -0.53 -4.06 -76.11
-0.66 0.16 -0.42 -3.90 -63.62
-0.63 0.18 -0.29 -3.75 -42.05
-0.71 0.09 -0.19 -3.59 -28.17
-0.68 0.07 -0.08 -3.42 -10.65
-0.58 0.08 0.02 -3.21 2.94
-0.52 0.15 0.05 0.22 -109.91
-0.42 0.25 0.06 0.18 -105.96
-0.36 0.30 0.06 0.18 -105.42
-0.32 0.30 0.06 0.18 -105.52
-0.28 0.25 0.05 0.21 -106.96
-0.21 0.19 0.03 0.17 -107.07
-0.20 0.18 0.02 0.17 -109.41
-0.24 0.22 -0.00 0.17 -112.91
-0.32 0.27 -0.01 0.23 -118.73
-0.34 0.28 -0.02 0.17 -118.41
-0.31 0.25 -0.03 0.17 -122.21
-0.31 0.24 -0.04 0.17 -125.14
-0.33 0.22 -0.05 0.20 -128.47
-0.34 0.23 -0.06 0.17 -130.48
-0.35 0.25 -0.07 0.17 -133.91
-0.37 0.25 -0.08 0.34 -143.22
-0.41 0.25 -0.08 0.59 -154.34
-0.66 0.22 -0.07 0.78 -164.84
-0.86 0.15 -0.02 0.97 -166.37
-1.27 0.06 0.11 0.22 -116.29
-1.43 -0.01 0.29 0.50 -91.13
-1.17 0.11 0.52 0.75 -44.16
-0.55 0.31 0.59 0.99 -29.02
-0.66 0.25 0.60 1.23 -31.24
-0.22 0.41 0.61 1.54 -28.82
-0.06 0.14 0.61 1.74 -24.82
-0.23 0.04 0.63 1.93 -15.74
-0.22 0.07 0.68 2.10 0.94
-0.36 0.29 0.72 2.26 11.28
-0.23 0.53 0.73 2.44 17.47
-0.25 0.51 0.72 2.57 17.43
-0.27 0.50 0.71 2.70 16.23
-0.16 0.50 0.70 2.83 18.72
0.07 0.33 0.67 2.93 18.26
0.24 0.22 0.61 3.01 10.89
0.08 0.18 0.55 3.07 1.67
0.09 0.19 0.48 3.12 -8.58
-0.01 0.21 0.45 3.16 -14.16
-0.13 0.19 0.44 3.19 -14.09
-0.01 0.25 0.44 3.22 -9.31
0.13 0.27 0.42 3.23 -6.60
0.16 0.28 0.40 3.24 -5.98
0.28 0.29 0.37 3.22 -6.30
0.26 0.26 0.35 3.20 -3.87
0.23 0.21 0.34 3.17 1.07
0.29 0.22 0.33 3.12 7.40
0.29 0.19 0.32 3.06 13.59
0.38 0.21 0.30 3.00 18.88
0.37 0.25 0.28 2.90 22.05
0.30 0.29 0.24 2.82 19.85
0.26 0.31 0.22 2.71 22.71
0.31 0.31 0.21 2.62 26.03
0.37 0.28 0.19 2.51 29.17
0.42 0.27 0.16 2.40 30.11
0.44 0.26 0.12 2.26 30.97
0.44 0.26 0.09 2.13 30.11
0.43 0.26 0.07 1.97 33.05
0.47 0.24 0.04 -0.14 104.84
0.41 0.27 0.01 -0.14 97.03
0.29 0.27 -0.03 -0.17 89.28
0.26 0.26 -0.04 -0.14 84.47
0.26 0.27 -0.04 -0.14 83.30
0.25 0.27 -0.04 -0.14 82.30
0.26 0.28 -0.04 -0.14 82.24
0.22 0.27 -0.03 -0.19 84.48
0.28 0.28 -0.03 -0.14 83.30
0.38 0.27 -0.04 -0.14 81.67
0.35 0.28 -0.06 -0.14 78.71
0.25 0.29 -0.05 -0.14 78.10
0.18 0.29 -0.05 -0.16 78.68
0.17 0.27 -0.04 -0.13 77.51
0.15 0.25 -0.04 -0.13 76.87
0.14 0.25 -0.03 -0.15 77.54
0.19 0.26 -0.02 -0.12 76.79
0.21 0.27 -0.02 -0.15 77.84
0.21 0.27 -0.02 -0.12 77.15
0.20 0.26 -0.01 -0.12 77.73
0.17 0.25 -0.01 -0.12 77.53
0.16 0.26 -0.00 -0.12 77.64
0.16 0.26 0.00 -0.14 78.87
0.18 0.26 0.01 -0.14 79.85
0.20 0.26 0.01 -0.11 79.77
0.22 0.25 0.02 -0.11 81.06
0.23 0.26 0.02 -0.11 82.33
0.21 0.27 0.02 -0.14 83.68
0.20 0.26 0.03 -0.11 83.79
0.19 0.27 0.03 -0.11 84.42
0.20 0.28 0.03 -0.11 85.46
0.20 0.28 0.04 -0.14 87.52
0.21 0.29 0.04 -0.14 88.71
0.22 0.28 0.05 -0.11 89.36
0.24 0.27 0.05 -0.12 90.90
0.26 0.28 0.05 -0.12 92.52
0.26 0.27 0.05 -0.12 94.39
0.25 0.26 0.06 -0.14 96.77
0.27 0.27 0.06 -0.12 97.69
0.27 0.26 0.06 -0.15 100.22
0.27 0.27 0.06 -0.13 101.14
0.28 0.26 0.06 -0.13 102.80
0.30 0.26 0.06 -0.16 105.67
0.30 0.26 0.07 -0.13 106.73
0.30 0.27 0.07 -0.13 108.21
0.30 0.27 0.07 -0.14 109.90
0.32 0.28 0.07 -0.17 112.76
0.34 0.26 0.07 -0.17 114.71
0.34 0.26 0.07 -0.14 115.64
0.34 0.25 0.07 -0.15 117.54
0.34 0.27 0.07 -0.18 120.18
0.35 0.28 0.07 -0.15 120.45
0.35 0.27 0.07 -0.15 122.15
0.33 0.26 0.07 -0.16 123.53
0.34 0.25 0.07 -0.19 126.03
0.33 0.26 0.07 -0.19 127.32
0.35 0.27 0.07 -0.35 134.67
0.37 0.27 0.06 -0.52 140.41
0.46 0.22 0.05 -0.20 127.20
0.75 0.26 -0.04 -0.18 108.97
0.60 0.21 -0.15 -0.18 83.08
0.22 0.21 -0.17 -0.36 78.44
0.07 0.26 -0.13 -0.52 89.86
0.34 0.31 -0.10 -0.76 104.00
0.76 0.30 -0.17 -0.93 97.23
0.84 0.24 -0.30 -1.11 73.73
0.77 0.24 -0.38 -1.30 61.69
0.69 0.28 -0.46 -1.52 48.43
0.46 0.25 -0.54 -1.70 30.37
0.39 0.25 -0.57 -1.88 21.74
0.25 0.28 -0.60 -2.04 12.60
0.07 0.30 -0.63 -2.21 1.45
-0.07 0.24 -0.62 -2.37 -4.76
-0.15 0.16 -0.61 -2.47 -9.68
-0.16 0.18 -0.58 -2.56 -11.98
-0.15 0.23 -0.56 -2.63 -13.11
-0.27 0.32 -0.52 -2.68 -12.90
-0.48 0.39 -0.48 -2.72 -15.69
-0.61 0.34 -0.45 -2.73 -22.14
-0.49 0.26 -0.41 -2.71 -25.35
-0.40 0.19 -0.38 -2.68 -27.39
-0.35 0.18 -0.34 -2.63 -27.18
-0.42 0.20 -0.30 -2.58 -25.92
-0.58 0.22 -0.26 -2.50 -27.50
-0.61 0.32 -0.20 -2.42 -24.44
-0.53 0.35 -0.14 -2.32 -17.66
-0.55 0.35 -0.09 -2.19 -15.20
-0.48 0.33 -0.04 -2.05 -13.23
-0.38 0.29 -0.01 0.12 -84.43
-0.41 0.29 0.01 0.12 -81.98
-0.34 0.26 0.02 0.13 -79.03
-0.42 0.24 0.03 0.16 -81.09
-0.32 0.22 0.04 0.13 -76.24
-0.30 0.24 0.06 0.13 -71.99
-0.29 0.23 0.08 0.13 -65.03
-0.17 0.22 0.12 0.28 -57.11
-0.05 0.23 0.15 0.42 -49.56
-0.27 0.19 0.19 0.54 -42.01
-0.30 0.18 0.25 0.66 -28.86
-0.22 0.20 0.31 0.76 -12.24
-0.05 0.25 0.36 0.88 3.24
0.02 0.26 0.38 0.97 13.22
0.02 0.27 0.39 1.05 20.19
0.06 0.27 0.39 1.13 23.48
0.13 0.26 0.37 1.18 24.73
0.16 0.24 0.35 1.23 25.55
0.23 0.26 0.32 1.26 25.25
0.23 0.26 0.29 1.27 24.32
0.22 0.26 0.27 1.28 23.75
0.27 0.26 0.24 1.27 22.76
0.27 0.26 0.22 1.26 24.70
0.30 0.26 0.21 1.23 29.47
0.33 0.26 0.20 1.19 34.98
0.34 0.26 0.19 1.14 41.02
0.38 0.26 0.18 1.09 47.22
0.43 0.26 0.17 1.01 52.90
0.49 0.25 0.15 0.93 58.73
0.61 0.26 0.13 0.84 63.54
0.61 0.25 0.09 0.73 63.90
0.57 0.25 0.06 0.60 67.60
0.65 0.27 0.03 -0.15 92.96
0.75 0.31 -0.01 -0.14 89.43
0.45 0.30 -0.05 -0.14 82.20
0.36 0.26 -0.05 -0.14 83.47
0.28 0.24 -0.06 -0.14 79.65
0.16 0.22 -0.08 -0.17 72.65
0.18 0.22 -0.09 -0.30 72.24
0.29 0.24 -0.11 -0.46 73.03
0.53 0.27 -0.13 -0.60 74.97
0.71 0.27 -0.16 -0.75 75.72
0.88 0.28 -0.23 -0.93 72.84
0.59 0.24 -0.31 -1.10 57.02
0.58 0.22 -0.36 -1.26 49.09
0.67 0.23 -0.44 -1.42 34.21
0.44 0.26 -0.51 -1.58 17.97
0.46 0.29 -0.55 -1.79 13.51
0.44 0.30 -0.59 -1.94 3.02
0.46 0.27 -0.61 -2.08 -0.92
0.25 0.24 -0.64 -2.22 -11.74
0.07 0.23 -0.65 -2.33 -17.86
-0.02 0.22 -0.64 -2.45 -21.30
-0.12 0.23 -0.63 -2.54 -29.48
-0.16 0.27 -0.62 -2.60 -35.09
-0.26 0.26 -0.59 -2.66 -38.45
-0.34 0.28 -0.55 -2.69 -39.23
-0.31 0.26 -0.51 -2.70 -38.08
-0.43 0.26 -0.48 -2.69 -41.33
-0.45 0.23 -0.43 -2.66 -41.51
-0.43 0.23 -0.39 -2.61 -42.55
-0.42 0.24 -0.35 -2.55 -43.50
-0.39 0.27 -0.32 -2.48 -43.73
-0.39 0.27 -0.29 -2.38 -46.78
-0.37 0.26 -0.28 -2.29 -52.59
-0.37 0.25 -0.27 -2.17 -60.46
